tvoc,eco2,iaq
0.15,453,1.45
0.151,456,1.45
0.151,450,1.45
0.152,457,1.46
0.152,459,1.46
0.153,460,1.46
0.153,464,1.46
0.154,445,1.46
0.154,447,1.46
0.155,448,1.47
0.156,464,1.47
0.156,448,1.47
0.157,459,1.47
0.157,465,1.47
0.158,465,1.47
0.158,461,1.47
0.159,464,1.48
0.159,449,1.48
0.16,456,1.48
0.16,460,1.48
0.161,448,1.48
0.162,453,1.48
0.162,462,1.49
0.163,460,1.49
0.163,456,1.49
0.164,464,1.49
0.165,454,1.49
0.165,451,1.5
0.166,453,1.5
0.167,459,1.5
0.168,453,1.5
0.168,457,1.5
0.169,458,1.51
0.169,462,1.51
0.169,467,1.51
0.17,453,1.51
0.171,464,1.51
0.171,459,1.51
0.172,460,1.51
0.172,459,1.52
0.173,467,1.52
0.173,464,1.52
0.174,451,1.52
0.174,459,1.52
0.175,453,1.53
0.176,469,1.53
0.177,464,1.53
0.177,471,1.53
0.178,466,1.53
0.178,463,1.53
0.179,462,1.54
0.18,461,1.54
0.18,465,1.54
0.181,473,1.54
0.181,458,1.54
0.182,461,1.55
0.182,456,1.55
0.182,461,1.55
0.183,463,1.55
0.183,459,1.55
0.184,473,1.55
0.184,465,1.55
0.185,465,1.55
0.186,456,1.56
0.186,465,1.56
0.187,470,1.56
0.188,464,1.56
0.188,457,1.57
0.189,461,1.57
0.19,468,1.57
0.191,457,1.57
0.191,465,1.57
0.192,457,1.57
0.192,464,1.58
0.193,473,1.58
0.193,466,1.58
0.194,465,1.58
0.194,463,1.58
0.195,475,1.58
0.195,462,1.59
0.196,468,1.59
0.197,474,1.59
0.197,477,1.59
0.198,475,1.59
0.199,475,1.6
0.2,474,1.6
0.2,470,1.6
0.201,467,1.6
0.201,471,1.6
0.202,471,1.61
0.203,469,1.61
0.203,470,1.61
0.204,479,1.61
0.205,474,1.61
0.205,474,1.62
0.206,465,1.62
0.206,475,1.62
0.206,466,1.62
0.207,466,1.62
0.208,477,1.62
0.208,471,1.62
0.209,467,1.63
0.209,473,1.63
0.21,471,1.63
0.211,472,1.63
0.211,473,1.63
0.212,465,1.64
0.212,479,1.64
0.213,476,1.64
0.213,483,1.64
0.214,470,1.64
0.215,465,1.65
0.216,466,1.65
0.216,477,1.65
0.217,466,1.65
0.217,483,1.65
0.218,483,1.65
0.219,474,1.66
0.22,474,1.66
0.221,477,1.66
0.221,481,1.66
0.221,475,1.66
0.222,468,1.67
0.223,471,1.67
0.223,488,1.67
0.224,473,1.67
0.225,482,1.67
0.225,472,1.68
0.225,472,1.68
0.226,475,1.68
0.227,486,1.68
0.227,480,1.68
0.228,483,1.68
0.228,478,1.68
0.229,489,1.69
0.229,484,1.69
0.229,489,1.69
0.23,471,1.69
0.23,478,1.69
0.231,474,1.69
0.232,484,1.7
0.232,490,1.7
0.233,483,1.7
0.234,473,1.7
0.234,479,1.7
0.235,482,1.7
0.236,473,1.71
0.236,490,1.71
0.237,481,1.71
0.237,488,1.71
0.238,492,1.71
0.239,478,1.72
0.24,485,1.72
0.24,483,1.72
0.241,487,1.72
0.241,490,1.72
0.241,488,1.72
0.242,492,1.73
0.243,477,1.73
0.244,484,1.73
0.244,494,1.73
0.245,496,1.74
0.246,489,1.74
0.246,478,1.74
0.246,485,1.74
0.247,496,1.74
0.247,485,1.74
0.248,479,1.74
0.249,485,1.75
0.249,494,1.75
0.249,496,1.75
0.25,487,1.75
0.251,492,1.75
0.251,489,1.75
0.252,482,1.76
0.253,486,1.76
0.253,497,1.76
0.254,486,1.76
0.254,494,1.76
0.255,485,1.77
0.256,493,1.77
0.256,492,1.77
0.257,481,1.77
0.257,498,1.77
0.258,491,1.77
0.259,482,1.78
0.26,486,1.78
0.26,491,1.78
0.261,488,1.78
0.261,494,1.78
0.262,498,1.79
0.263,495,1.79
0.264,484,1.79
0.264,489,1.79
0.265,502,1.79
0.265,485,1.8
0.266,496,1.8
0.267,498,1.8
0.267,492,1.8
0.267,488,1.8
0.268,503,1.8
0.268,502,1.8
0.269,500,1.81
0.269,498,1.81
0.27,489,1.81
0.27,495,1.81
0.271,499,1.81
0.272,497,1.81
0.272,490,1.82
0.273,495,1.82
0.273,500,1.82
0.274,493,1.82
0.275,503,1.82
0.275,495,1.82
0.276,488,1.83
0.276,495,1.83
0.277,502,1.83
0.277,506,1.83
0.278,507,1.83
0.279,497,1.84
0.279,505,1.84
0.28,492,1.84
0.28,494,1.84
0.281,495,1.84
0.282,504,1.84
0.283,492,1.85
0.283,502,1.85
0.283,495,1.85
0.284,503,1.85
0.284,506,1.85
0.284,505,1.85
0.285,501,1.85
0.286,506,1.86
0.286,507,1.86
0.287,505,1.86
0.288,505,1.86
0.288,501,1.86
0.288,495,1.87
0.289,502,1.87
0.289,503,1.87
0.29,507,1.87
0.291,498,1.87
0.291,498,1.87
0.292,498,1.88
0.292,498,1.88
0.292,504,1.88
0.293,508,1.88
0.294,509,1.88
0.294,498,1.88
0.295,508,1.88
0.295,497,1.89
0.296,494,1.89
0.296,509,1.89
0.297,499,1.89
0.298,513,1.89
0.298,513,1.89
0.299,510,1.9
0.3,506,1.9
0.3,505,2
0.301,501,2
0.302,505,2
0.302,507,2
0.303,496,2
0.303,513,2
0.304,507,2
0.304,514,2.01
0.305,511,2.01
0.305,511,2.01
0.306,498,2.01
0.307,507,2.01
0.307,514,2.01
0.308,504,2.01
0.308,509,2.01
0.309,514,2.01
0.31,508,2.01
0.31,512,2.01
0.31,503,2.01
0.311,502,2.01
0.311,513,2.01
0.312,506,2.01
0.312,514,2.02
0.313,515,2.02
0.313,513,2.02
0.314,512,2.02
0.314,515,2.02
0.314,520,2.02
0.315,505,2.02
0.316,505,2.02
0.316,509,2.02
0.317,502,2.02
0.318,519,2.02
0.318,506,2.02
0.318,510,2.02
0.319,515,2.02
0.319,507,2.03
0.32,520,2.03
0.321,514,2.03
0.321,511,2.03
0.322,516,2.03
0.322,504,2.03
0.323,511,2.03
0.323,523,2.03
0.324,520,2.03
0.324,509,2.03
0.325,509,2.03
0.326,513,2.03
0.327,518,2.03
0.327,516,2.03
0.328,510,2.04
0.328,525,2.04
0.329,512,2.04
0.329,510,2.04
0.33,517,2.04
0.331,507,2.04
0.331,512,2.04
0.332,525,2.04
0.332,519,2.04
0.333,520,2.04
0.334,519,2.04
0.334,516,2.04
0.335,512,2.04
0.335,523,2.05
0.336,510,2.05
0.337,508,2.05
0.337,526,2.05
0.337,514,2.05
0.338,526,2.05
0.339,525,2.05
0.339,519,2.05
0.34,519,2.05
0.341,523,2.05
0.341,514,2.05
0.342,529,2.05
0.342,517,2.05
0.343,523,2.05
0.343,524,2.06
0.344,526,2.06
0.344,519,2.06
0.345,524,2.06
0.345,523,2.06
0.346,524,2.06
0.346,517,2.06
0.347,512,2.06
0.347,527,2.06
0.348,519,2.06
0.348,530,2.06
0.349,514,2.06
0.35,526,2.06
0.35,525,2.06
0.35,532,2.06
0.351,513,2.07
0.352,528,2.07
0.353,515,2.07
0.353,525,2.07
0.354,522,2.07
0.355,520,2.07
0.355,528,2.07
0.356,519,2.07
0.356,515,2.07
0.357,527,2.07
0.358,523,2.07
0.358,533,2.07
0.359,535,2.08
0.359,521,2.08
0.36,534,2.08
0.36,529,2.08
0.361,530,2.08
0.361,520,2.08
0.362,534,2.08
0.363,518,2.08
0.363,520,2.08
0.364,518,2.08
0.365,534,2.08
0.366,521,2.08
0.366,532,2.08
0.367,521,2.09
0.367,525,2.09
0.368,520,2.09
0.369,539,2.09
0.369,520,2.09
0.37,531,2.09
0.371,526,2.09
0.372,524,2.09
0.373,524,2.09
0.373,537,2.09
0.374,523,2.1
0.375,525,2.1
0.375,536,2.1
0.376,532,2.1
0.376,533,2.1
0.376,540,2.1
0.377,535,2.1
0.378,530,2.1
0.378,526,2.1
0.379,540,2.1
0.38,540,2.1
0.38,542,2.1
0.381,540,2.1
0.381,528,2.1
0.382,543,2.11
0.382,538,2.11
0.383,535,2.11
0.384,529,2.11
0.385,532,2.11
0.385,536,2.11
0.386,533,2.11
0.386,545,2.11
0.387,533,2.11
0.388,539,2.11
0.388,539,2.11
0.388,528,2.11
0.389,546,2.11
0.389,532,2.11
0.39,530,2.12
0.391,530,2.12
0.391,531,2.12
0.392,546,2.12
0.393,531,2.12
0.393,533,2.12
0.393,543,2.12
0.394,543,2.12
0.395,541,2.12
0.396,534,2.12
0.396,536,2.12
0.397,533,2.12
0.397,544,2.13
0.398,532,2.13
0.399,531,2.13
0.399,549,2.13
0.4,530,2.13
0.401,548,2.13
0.401,540,2.13
0.402,536,2.13
0.402,548,2.13
0.403,540,2.13
0.404,544,2.13
0.404,543,2.13
0.405,549,2.13
0.405,540,2.14
0.406,549,2.14
0.406,541,2.14
0.406,534,2.14
0.407,542,2.14
0.407,536,2.14
0.408,538,2.14
0.408,552,2.14
0.409,551,2.14
0.409,552,2.14
0.41,549,2.14
0.41,544,2.14
0.411,553,2.14
0.411,534,2.14
0.411,546,2.14
0.412,545,2.14
0.412,541,2.14
0.413,545,2.15
0.413,546,2.15
0.414,549,2.15
0.414,542,2.15
0.415,541,2.15
0.416,541,2.15
0.417,543,2.15
0.417,554,2.15
0.417,546,2.15
0.418,542,2.15
0.418,551,2.15
0.419,552,2.15
0.419,539,2.15
0.42,554,2.15
0.42,541,2.15
0.421,541,2.16
0.422,556,2.16
0.422,556,2.16
0.423,556,2.16
0.424,542,2.16
0.424,556,2.16
0.425,539,2.16
0.426,551,2.16
0.426,551,2.16
0.427,546,2.16
0.427,556,2.16
0.427,540,2.16
0.428,547,2.16
0.428,552,2.16
0.429,546,2.17
0.429,542,2.17
0.43,554,2.17
0.43,559,2.17
0.431,546,2.17
0.432,555,2.17
0.433,559,2.17
0.434,546,2.17
0.434,555,2.17
0.435,553,2.17
0.435,554,2.17
0.436,554,2.17
0.437,557,2.18
0.437,559,2.18
0.438,552,2.18
0.438,558,2.18
0.439,550,2.18
0.439,552,2.18
0.439,561,2.18
0.44,562,2.18
0.44,549,2.18
0.441,544,2.18
0.441,552,2.18
0.442,557,2.18
0.442,547,2.18
0.443,558,2.18
0.443,565,2.18
0.444,553,2.18
0.444,549,2.19
0.445,563,2.19
0.445,556,2.19
0.446,559,2.19
0.447,562,2.19
0.448,551,2.19
0.448,566,2.19
0.449,550,2.19
0.449,548,2.19
0.45,554,2.19
0.451,563,2.19
0.451,549,2.19
0.452,550,2.2
0.452,549,2.2
0.453,562,2.2
0.453,556,2.2
0.454,553,2.2
0.454,554,2.2
0.455,551,2.2
0.455,552,2.2
0.456,562,2.2
0.456,560,2.2
0.457,565,2.2
0.457,553,2.2
0.458,553,2.2
0.459,567,2.2
0.459,564,2.2
0.46,557,2.21
0.46,557,2.21
0.461,554,2.21
0.461,560,2.21
0.462,558,2.21
0.463,559,2.21
0.463,555,2.21
0.464,557,2.21
0.464,564,2.21
0.464,563,2.21
0.465,556,2.21
0.465,561,2.21
0.465,570,2.21
0.466,563,2.21
0.466,571,2.21
0.467,557,2.21
0.467,567,2.22
0.468,570,2.22
0.469,566,2.22
0.47,567,2.22
0.471,569,2.22
0.471,568,2.22
0.471,558,2.22
0.472,567,2.22
0.473,559,2.22
0.473,574,2.22
0.474,569,2.22
0.475,565,2.22
0.475,565,2.22
0.475,569,2.23
0.476,571,2.23
0.477,558,2.23
0.477,569,2.23
0.478,563,2.23
0.478,566,2.23
0.479,573,2.23
0.48,577,2.23
0.48,568,2.23
0.481,578,2.23
0.481,575,2.23
0.482,565,2.23
0.483,562,2.23
0.483,570,2.24
0.484,561,2.24
0.485,570,2.24
0.485,563,2.24
0.486,565,2.24
0.486,575,2.24
0.487,568,2.24
0.488,570,2.24
0.488,577,2.24
0.489,581,2.24
0.49,570,2.24
0.49,570,2.24
0.491,572,2.25
0.491,562,2.25
0.491,581,2.25
0.491,564,2.25
0.492,567,2.25
0.492,580,2.25
0.493,563,2.25
0.493,563,2.25
0.494,577,2.25
0.494,581,2.25
0.495,583,2.25
0.496,575,2.25
0.496,575,2.25
0.497,574,2.25
0.497,578,2.25
0.498,572,2.25
0.498,566,2.25
0.498,582,2.26
0.499,571,2.26
0.5,565,2.26
0.501,567,2.26
0.501,570,2.26
0.501,575,2.26
0.502,573,2.26
0.503,580,2.26
0.503,582,2.26
0.504,568,2.26
0.505,579,2.26
0.505,571,2.26
0.506,584,2.26
0.506,587,2.27
0.507,576,2.27
0.508,572,2.27
0.508,584,2.27
0.509,575,2.27
0.51,580,2.27
0.51,574,2.27
0.511,580,2.27
0.511,579,2.27
0.512,588,2.27
0.513,579,2.27
0.514,587,2.27
0.514,575,2.28
0.515,575,2.28
0.516,571,2.28
0.516,581,2.28
0.517,580,2.28
0.518,588,2.28
0.518,576,2.28
0.519,585,2.28
0.519,585,2.28
0.52,574,2.28
0.521,590,2.28
0.521,591,2.28
0.522,575,2.28
0.522,584,2.29
0.523,578,2.29
0.523,588,2.29
0.524,574,2.29
0.524,579,2.29
0.525,590,2.29
0.526,592,2.29
0.526,585,2.29
0.527,584,2.29
0.527,592,2.29
0.528,584,2.29
0.528,592,2.29
0.529,585,2.29
0.529,588,2.29
0.53,585,2.3
0.53,594,2.3
0.531,590,2.3
0.532,588,2.3
0.532,585,2.3
0.532,585,2.3
0.533,595,2.3
0.533,582,2.3
0.534,588,2.3
0.534,579,2.3
0.535,588,2.3
0.536,594,2.3
0.536,578,2.3
0.537,579,2.3
0.537,592,2.31
0.538,594,2.31
0.538,596,2.31
0.539,587,2.31
0.54,583,2.31
0.54,580,2.31
0.541,595,2.31
0.541,590,2.31
0.542,596,2.31
0.542,587,2.31
0.543,581,2.31
0.543,600,2.31
0.544,581,2.31
0.545,591,2.31
0.545,590,2.32
0.546,594,2.32
0.546,597,2.32
0.547,594,2.32
0.547,598,2.32
0.548,597,2.32
0.548,600,2.32
0.549,586,2.32
0.55,591,2.32
0.55,600,2.32
0.551,603,2.32
0.551,590,2.32
0.552,600,2.32
0.552,597,2.32
0.553,594,2.33
0.553,591,2.33
0.554,603,2.33
0.555,592,2.33
0.555,585,2.33
0.556,590,2.33
0.556,595,2.33
0.557,593,2.33
0.557,590,2.33
0.558,598,2.33
0.558,589,2.33
0.559,589,2.33
0.559,593,2.33
0.56,601,2.33
0.56,587,2.33
0.56,593,2.33
0.561,593,2.34
0.561,602,2.34
0.562,596,2.34
0.563,598,2.34
0.563,604,2.34
0.564,594,2.34
0.565,598,2.34
0.565,588,2.34
0.566,601,2.34
0.566,590,2.34
0.566,607,2.34
0.567,606,2.34
0.568,590,2.34
0.569,603,2.35
0.569,603,2.35
0.57,603,2.35
0.571,598,2.35
0.571,596,2.35
0.572,594,2.35
0.572,609,2.35
0.573,604,2.35
0.573,597,2.35
0.574,606,2.35
0.574,606,2.35
0.574,603,2.35
0.575,603,2.35
0.575,600,2.35
0.576,592,2.35
0.576,600,2.36
0.577,603,2.36
0.578,608,2.36
0.578,605,2.36
0.579,604,2.36
0.579,593,2.36
0.58,602,2.36
0.58,595,2.36
0.581,596,2.36
0.581,604,2.36
0.582,604,2.36
0.582,601,2.36
0.583,604,2.36
0.584,596,2.36
0.584,610,2.37
0.585,602,2.37
0.585,595,2.37
0.586,596,2.37
0.586,606,2.37
0.587,608,2.37
0.588,600,2.37
0.588,614,2.37
0.589,611,2.37
0.589,600,2.37
0.589,605,2.37
0.59,600,2.37
0.591,605,2.37
0.591,616,2.37
0.592,611,2.38
0.593,600,2.38
0.593,616,2.38
0.593,613,2.38
0.594,609,2.38
0.594,603,2.38
0.595,602,2.38
0.595,616,2.38
0.596,616,2.38
0.596,605,2.38
0.597,618,2.38
0.598,609,2.38
0.598,607,2.38
0.599,614,2.38
0.6,605,2.39
0.6,606,2.39
0.601,615,2.39
0.601,609,2.39
0.602,608,2.39
0.603,611,2.39
0.603,608,2.39
0.603,604,2.39
0.604,620,2.39
0.605,614,2.39
0.605,618,2.39
0.606,612,2.39
0.606,611,2.39
0.607,607,2.4
0.608,621,2.4
0.608,610,2.4
0.609,613,2.4
0.61,605,2.4
0.61,616,2.4
0.611,613,2.4
0.612,619,2.4
0.613,610,2.4
0.613,609,2.4
0.614,608,2.4
0.615,613,2.4
0.615,617,2.41
0.616,609,2.41
0.616,616,2.41
0.617,611,2.41
0.617,619,2.41
0.618,614,2.41
0.619,623,2.41
0.619,619,2.41
0.619,613,2.41
0.62,625,2.41
0.62,627,2.41
0.621,627,2.41
0.621,611,2.41
0.622,608,2.41
0.622,624,2.41
0.623,627,2.42
0.624,614,2.42
0.624,621,2.42
0.625,615,2.42
0.626,620,2.42
0.627,623,2.42
0.627,616,2.42
0.627,619,2.42
0.628,628,2.42
0.629,622,2.42
0.629,619,2.42
0.63,614,2.42
0.63,627,2.42
0.631,615,2.43
0.631,615,2.43
0.632,614,2.43
0.632,626,2.43
0.633,617,2.43
0.633,624,2.43
0.634,623,2.43
0.634,615,2.43
0.635,620,2.43
0.635,631,2.43
0.636,626,2.43
0.637,615,2.43
0.637,623,2.43
0.638,633,2.43
0.638,625,2.43
0.639,623,2.44
0.639,624,2.44
0.64,626,2.44
0.64,633,2.44
0.641,628,2.44
0.642,619,2.44
0.642,625,2.44
0.643,624,2.44
0.643,617,2.44
0.644,622,2.44
0.645,629,2.44
0.645,627,2.44
0.646,618,2.44
0.647,632,2.45
0.647,626,2.45
0.647,620,2.45
0.648,630,2.45
0.649,629,2.45
0.649,618,2.45
0.649,617,2.45
0.649,619,2.45
0.65,635,2.45
0.651,628,2.45
0.651,630,2.45
0.652,618,2.45
0.652,635,2.45
0.653,637,2.45
0.654,622,2.45
0.654,631,2.46
0.655,627,2.46
0.655,620,2.46
0.656,621,2.46
0.656,621,2.46
0.657,621,2.46
0.657,636,2.46
0.658,639,2.46
0.658,625,2.46
0.659,634,2.46
0.66,628,2.46
0.66,629,2.46
0.66,630,2.46
0.661,628,2.46
0.662,626,2.46
0.662,630,2.47
0.663,638,2.47
0.663,622,2.47
0.663,629,2.47
0.664,629,2.47
0.664,639,2.47
0.665,629,2.47
0.665,641,2.47
0.666,633,2.47
0.666,639,2.47
0.667,635,2.47
0.668,640,2.47
0.668,628,2.47
0.669,632,2.47
0.669,644,2.47
0.67,639,2.48
0.67,641,2.48
0.671,639,2.48
0.671,637,2.48
0.672,635,2.48
0.673,629,2.48
0.673,636,2.48
0.674,642,2.48
0.675,628,2.48
0.675,640,2.48
0.676,644,2.48
0.677,645,2.48
0.677,634,2.49
0.678,636,2.49
0.679,640,2.49
0.679,637,2.49
0.68,646,2.49
0.68,635,2.49
0.681,643,2.49
0.681,645,2.49
0.682,630,2.49
0.682,641,2.49
0.683,648,2.49
0.684,639,2.49
0.684,639,2.49
0.685,638,2.49
0.685,647,2.49
0.685,645,2.5
0.686,640,2.5
0.687,638,2.5
0.687,643,2.5
0.688,639,2.5
0.689,633,2.5
0.689,637,2.5
0.69,632,2.5
0.69,647,2.5
0.691,643,2.5
0.691,645,2.5
0.692,649,2.5
0.692,650,2.5
0.693,640,2.51
0.693,647,2.51
0.694,652,2.51
0.694,637,2.51
0.695,644,2.51
0.695,653,2.51
0.696,640,2.51
0.697,641,2.51
0.697,653,2.51
0.698,642,2.51
0.698,636,2.51
0.699,646,2.51
0.699,643,2.51
0.7,639,2.51
0.701,645,2.51
0.701,638,2.52
0.701,638,2.52
0.702,642,2.52
0.703,655,2.52
0.704,648,2.52
0.705,648,2.52
0.705,655,2.52
0.706,641,2.52
0.707,639,2.52
0.708,650,2.52
0.708,649,2.52
0.709,640,2.53
0.709,642,2.53
0.71,642,2.53
0.71,652,2.53
0.711,654,2.53
0.711,647,2.53
0.712,650,2.53
0.713,653,2.53
0.713,649,2.53
0.714,650,2.53
0.714,642,2.53
0.715,653,2.53
0.716,655,2.53
0.716,646,2.53
0.717,654,2.54
0.717,641,2.54
0.718,660,2.54
0.719,642,2.54
0.719,646,2.54
0.72,646,2.54
0.721,652,2.54
0.721,660,2.54
0.722,648,2.54
0.723,654,2.54
0.724,644,2.54
0.724,647,2.55
0.725,659,2.55
0.725,655,2.55
0.726,644,2.55
0.726,646,2.55
0.727,659,2.55
0.727,662,2.55
0.728,656,2.55
0.729,659,2.55
0.73,656,2.55
0.73,660,2.55
0.731,662,2.55
0.731,665,2.55
0.732,662,2.56
0.733,652,2.56
0.733,653,2.56
0.734,647,2.56
0.734,653,2.56
0.735,650,2.56
0.735,655,2.56
0.736,664,2.56
0.737,665,2.56
0.737,648,2.56
0.738,663,2.56
0.738,651,2.56
0.739,653,2.56
0.739,668,2.57
0.74,657,2.57
0.74,665,2.57
0.741,658,2.57
0.741,658,2.57
0.742,654,2.57
0.742,658,2.57
0.743,660,2.57
0.744,653,2.57
0.745,668,2.57
0.745,659,2.57
0.746,657,2.57
0.747,669,2.57
